Zip;City;Country;Street;StreetType;StreetNo;StreetCodeSupplement;Building;Stairway;Door;Floor;LandRegistryNumber;RecdAt;SN;Brand;Model;Installed
8956;Debrecen, Károli Gáspár utca 414, 4032, Hajdú-Bihar vármegye, Magyarország;HU;Debrecen, Károli Gáspár utca 414, 4032, Hajdú-Bihar vármegye, Magyarország;;;;;;;;;2026.02.17. 17:00;A112500118830013;Solinteg;MHT-5K-25;2026.02.17.
8956;Budapest, Szepesség utca 8, 1201, Magyarország;HU;Budapest, Szepesség utca 8, 1201, Magyarország;;;;;;;;;2026.02.17. 16:30;A112500110130013;Solinteg;MHT-5K-25;2026.02.17.
8956;Székesfehérvár, Keszegfalvi Köz 3, 8000, Fejér, Hungary;HU;Székesfehérvár, Keszegfalvi Köz 3, 8000, Fejér, Hungary;;;;;;;;;2026.02.17. 16:00;A112500149430045;Solinteg;MHT-10K-25;2026.02.17.
6041;Kerekegyháza;HU;Széchenyi;utca;;;160.;;;;1119;2026.02.17. 15:42;6T2329002341;Ener-Aid;SUN2000-50KTL-M3;2025.12.15.
6050;Lajosmizse;HU;Ceglédi;út;;;77.;;;;0275/5;2026.02.17. 15:42;6T2349035586;Ener-Aid;SUN2000-50KTL-M3;2025.04.22.
8956;Dány, Szent István utca 48, 2118, Pest vármegye, Magyarország;HU;Dány, Szent István utca 48, 2118, Pest vármegye, Magyarország;;;;;;;;;2026.02.17. 14:00;A112500128532045;Solinteg;MHT-50K-100;2026.02.17.
8956;Biatorbágy, Forrás Utca 20, 2051, Pest, Hungary;HU;Biatorbágy, Forrás Utca 20, 2051, Pest, Hungary;;;;;;;;;2026.02.17. 12:00;A112500112230045;Solinteg;MHT-10K-25;2026.02.17.
0000;Nyúl;HU;nyúl;;;;;;;;;2026.02.17. 03:21;ST60006012180239;Solplanet;ASW6K-LT;2022.10.20.
0000;Zalaszentgrot;HU;unknow;;;;;;;;;2026.02.17. 03:21;SZ00086022240182;Solplanet;ASW8K-LT-G2;2022.11.03.
0000;unknow;HU;Oroshaza, Bekes, Hungary;;;;;;;;;2026.02.17. 03:21;SZ00106022260208;Solplanet;ASW10K-LT-G2;2022.11.29.
0000;unknow;HU;Hercegszántó Bacs-Kiskun, Hungary;;;;;;;;;2026.02.17. 03:21;SP00106032270096;Solplanet;ASW10K-LT-G2 Pro;2023.05.23.
0000;unknow;HU;2030 Érd Zólyomi utca 31;;;;;;;;;2026.02.17. 03:21;OE012K60U2440008;Solplanet;ASW12kH-T2;2026.02.16.
0000;Szolnok;HU;Szolnok, Jasz-Nagykun-Szolnok, Hungary;;;;;;;;;2026.02.17. 03:21;SP00106032250577;Solplanet;ASW10K-LT-G2;2023.02.07.
0000;unknow;HU;S?regi János utca 12.;;;;;;;;;2026.02.17. 03:21;OE500060Y24A0026;Solplanet;ASW05kH-T2;2025.04.30.
0000;Szeged;HU;Sándorfalva Kölcsey u. 59.;;;;;;;;;2026.02.17. 03:21;SA250060G2570055;Solplanet;ASW2500-S-G2;2025.11.26.
0000;Satoraljaujhely;HU;Satoraljaujhely, Borsod-Abauj-Zemplen, Hungary;;;;;;;;;2026.02.16. 16:48;SZ00126022270021;Solplanet;ASW12K-LT-G2;2023.06.06.
0000;Szekszard;HU;Szekszard, Tolna, Hungary;;;;;;;;;2026.02.16. 16:48;TA00336032260068;Solplanet;ASW33K-LT-G3;2024.11.28.
0000;unknow;HU;Erkel Ferenc 14, Szigetszentmiklos, Pest, Hungary;;;;;;;;;2026.02.16. 16:48;SA250060G2540019;Solplanet;ASW2500-S-G2;2026.02.16.
0000;Onga;HU;unknow;;;;;;;;;2026.02.16. 16:48;ST60006012270281;Solplanet;ASW6-T;2022.11.04.
0000;Mosonmagyarovar;HU;Hadirokkant utca 26, Mosonmagyarovar, Gyor-Moson-Sopron, Hungary;;;;;;;;;2026.02.16. 16:48;ST50006012270574;Solplanet;ASW5-T;2023.04.13.
0000;unknow;HU;Ràcz utca, Jaszbereny, Jasz-Nagykun-Szolnok, Hungary;;;;;;;;;2026.02.16. 16:48;SP00046032270735;Solplanet;ASW4K-LT-G2 Pro;2023.12.18.
0000;unknow;HU;Széchenyi utca, Debrecen, Hajdu-Bihar, Hungary;;;;;;;;;2026.02.16. 16:48;HT00506022270021;Solplanet;ASW50K-LT-G2;2024.03.25.
0000;Debrecen;HU;Debrecen, Böszörményi u. 210/B/1;;;;;;;;;2026.02.16. 16:48;SA200060G2540003;Solplanet;ASW2000-S-G2;2025.11.12.
0000;Martonvasar;HU;Ercsi;;;;;;;;;2026.02.16. 16:48;OE60006022560641;Solplanet;ASW06kH-T2;2025.12.09.
0000;Erd;HU;Fügefa u. 3. Erd, Pest, Hungary;;;;;;;;;2026.02.16. 14:35;ST60006012270226;Solplanet;ASW6-T;2023.07.20.
0000;Pecs;HU;Pecs, Baranya, Hungary;;;;;;;;;2026.02.16. 14:35;SA20006082460029;Solplanet;ASW2000-S-G2;2025.04.24.
0000;Kisvarda;HU;Szabolcsveresmart, ;;;;;;;;;2026.02.16. 14:35;SC00506092460178;Solplanet;ASW50K-LT-G3;2025.07.13.
0000;Hajdunanas;HU;103,Magyar utca Hajdunanas, Hajdu-Bihar, Hungary;;;;;;;;;2026.02.16. 14:35;SA250060G2560018;Solplanet;ASW2500-S-G2;2025.11.21.
0000;Gyongyos;HU;Gyongyos, Heves, Hungary;;;;;;;;;2026.02.16. 14:35;SA25006082440034;Solplanet;ASW2500-S-G2;2025.08.15.
0000;unknow;HU;Budapest, Kende Kanuth u. 4, 1203 Hungary;;;;;;;;;2026.02.16. 14:35;SA25006082440050;Solplanet;ASW2500-S-G2;2025.12.19.
0000;Janoshalma;HU;Deák Ferenc utca 15., Janoshalma, Bacs-Kiskun, Hungary;;;;;;;;;2026.02.16. 14:35;SA250060G2520002;Solplanet;ASW2500-S-G2;2025.07.06.
0000;Zirc;HU;Kossuth Lajos utca 52, Zirc, Vesprem, Hungary;;;;;;;;;2026.02.16. 14:35;SZ00176022270061;Solplanet;ASW17K-LT-G2;2022.10.21.
0000;Budapest Áchim András utca 131;HU;Budapest, Áchim András utca 131.;;;;;;;;;2026.02.16. 14:35;HT00306022270004;Solplanet;ASW33K-LT-G2;1970.01.01.
0000;Szekesfehervar;HU;unknow;;;;;;;;;2026.02.16. 14:35;HT00506022230038;Solplanet;ASW50K-LT-G2;2022.12.15.
